Station,Year,max_temp,min_temp,humadity,Total Rainfall (mm),Cloud Coverage (Octs),Sunshine (Hours),Wind Speed (m/s),Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production
Ambagan,1970,,,,0,,,,,,,,,
Barisal,1970,29.84916667,21.335,82.10833333,201.0833333,4.080833333,7.1675,1.373333333,,,,,,
Bhola,1970,29.83583333,21.125,87.24416667,172.8333333,4.589166667,,2.446666667,,,,,,
Bogra,1970,30.43166667,20.92583333,75.6625,149.5,3.460833333,7.533333333,1.0275,634460,280905,286080,95240,67720,187375
Chandpur,1970,29.20333333,22.09,79.5675,131.6666667,2.110833333,,1.090833333,,,,,,
Chittagong,1970,29.75166667,21.52916667,80.44833333,235.6666667,4.370833333,6.968333333,2.47,497290,319075,264775,121470,600,1380
Chuadanga,1970,,,,0,,,,,,,,,
Comilla,1970,30.29666667,21.87166667,85.11416667,144.3333333,2.266666667,,1.079166667,976420,508305,566325,224045,170895,540030
Cox's Bazar,1970,29.09833333,21.60666667,79.23416667,322.75,4.298333333,6.775,2.700833333,,,,,,
Dhaka,1970,30.16416667,21.46,76.24916667,166.25,3.784166667,7.823333333,1.463333333,765390,312720,499125,185035,216925,668225
Dinajpur,1970,30.20083333,20.375,73.16916667,118.5833333,2.5475,,0.665,888530,407065,484460,187185,108805,292870
Faridpur,1970,30.0375,20.9275,77.6925,179.3333333,3.815833333,,1.335833333,786200,303645,577015,164925,317620,947780
Feni,1970,,,,0,,,,,,,,,
Hatiya,1970,28.55,22.37166667,80.37166667,231.4166667,3.869166667,,2.348333333,,,,,,
Ishurdi,1970,30.91583333,20.65416667,74.70416667,121.8333333,3.624166667,,2.7275,,,,,,
Jessore,1970,30.565,20.87916667,75.65833333,175.6666667,3.636666667,7.951666667,2.4725,552400,231120,636155,214345,167870,503585
Khepupara,1970,,,,0,,,,,,,,,
Khulna,1970,31.84916667,22.4375,78.97333333,162.5,2.250833333,,0.265,1007020,437665,119700,49115,59420,176430
Kutubdia,1970,,,,0,,,,,,,,,
M. Court,1970,29.42916667,21.34166667,81.11,305.5,3.636666667,,0.761666667,,,,,,
Madaripur,1970,,,,0,,,,,,,,,
Mongla,1970,,,,0,,,,,,,,,
