,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
0,Barisal,1970,32.5,21.34166667,201.0833333,82.08333333,1.375,4.041666667,7.158333333,,,,,,,,
1,Bhola,1970,32.54166667,21.13333333,172.83333330000005,87.33333333,2.45,4.575,5.327777778,,,,,,,,
2,Bogra,1970,35.75833333,20.925,149.5,75.58333333,1.025,3.433333333,7.541666667,634460.0,280905,286080,95240.0,67720.0,187375,30320.0,22680.0
3,Chandpur,1970,32.58333333,22.09166667,131.6666667,79.58333333,1.091666667,2.1,5.478603604,,,,,,,,
4,Chittagong,1970,32.4,21.51666667,235.6666667,80.5,2.458333333,4.3,6.966666667,497290.0,319075,264775,121470.0,600.0,1380,143481.0,162770.0
5,Comilla,1970,33.4,21.89166667,144.33333330000005,85.16666667,1.075,2.258333333,6.583838384,976420.0,508305,566325,224045.0,170895.0,540030,168750.0,162470.0
6,Cox's Bazar,1970,32.35,21.61666667,322.75,79.25,2.7,4.258333333,6.766666667000001,,,,,,,,
7,Dhaka,1970,33.25833333,21.46666667,166.25,76.25,1.466666667,3.75,7.841666667,765390.0,312720,499125,185035.0,216925.0,668225,178455.0,161180.0
8,Dinajpur,1970,33.69166667,20.35833333,118.5833333,73.25,0.658333333,2.5333333330000003,6.339,888530.0,407065,484460,187185.0,108805.0,292870,6995.0,6800.0
9,Faridpur,1970,33.23333333,20.925,179.33333330000005,77.66666667,1.333333333,3.808333333,6.607183908,786200.0,303645,577015,164925.0,317620.0,947780,31695.0,31510.0
10,Noakhali,1970,31.08333333,22.36666667,231.4166667,80.5,2.35,3.883333333,6.462356322000001,726660.0,332125,478290,154690.0,39530.0,111860,44760.0,57140.0
11,Ishurdi,1970,34.70833333,20.65,121.8333333,74.66666667,2.716666667,3.558333333,6.606034482999999,,,,,,,,
12,Jessore,1970,34.24166667,20.88333333,175.66666669999995,75.66666667,2.483333333,3.616666667,7.941666667000001,552400.0,231120,636155,214345.0,167870.0,503585,19840.0,23850.0
13,Khulna,1970,34.925,22.45,162.5,78.91666667,0.266666667,2.216666667,6.618888889,1007020.0,437665,119700,49115.0,59420.0,176430,41865.0,33630.0
14,Maijdee Court,1970,32.39166667,21.33333333,305.5,81.08333333,0.7583333329999999,3.625,6.297413793,,,,,,,,
15,Mymensingh,1970,32.94166667,20.75,162.16666669999995,75.0,0.275,3.458333333,5.892619047999999,1501670.0,687190,1089970,325685.0,471100.0,"137833
5",129880.0,111680.0
16,Rajshahi,1970,32.26666667,20.525,125.5833333,72.66666667,0.933333333,3.941666667,6.820238095,1111420.0,544415,474080,173860.0,118420.0,275560,90360.0,66730.0
17,Rangamati,1970,34.4,22.35833333,213.6666667,79.41666667,1.575,4.008333333,6.455864198,,,,,,,,
18,Rangpur,1970,33.55833333,18.89166667,166.41666669999995,83.33333333,0.841666667,2.775,6.424761905,1209490.0,622025,906800,324985.0,357260.0,992865,32570.0,30555.0
